sample_group,descriptive_field
2,scalar_crop_yield_factors
4,scalar_industrial_demand
33,scalar_exports_livestock
45,scalar_productivity_livestock
46,scalar_buildings_appliance_energy_demand
47,scalar_buildings_heat_energy_demand
97,hydropower_climate_generation_capacity_scalar
128,scalar_fuel_costs_coal
129,scalar_fuel_costs_coke
130,scalar_fuel_costs_crude_oil
131,scalar_fuel_costs_diesel
133,scalar_fuel_costs_furnace_gas
134,scalar_fuel_costs_gasoline
135,scalar_fuel_costs_hydrocarbon_gas_liquids
136,scalar_fuel_costs_hydrogen
137,scalar_fuel_costs_kerosene
138,scalar_fuel_costs_natural_gas
140,scalar_fuel_costs_oil
148,scalar_transportation_demand_freight
149,scalar_transportation_demand_public_private
150,scalar_scalar_transportation_demand_regional
275,scalar_forest_sequestration_mangroves
276,scalar_forest_sequestration_secondary
277,scalar_forest_sequestration_primary
333,scalar_conversion_emissions_forests_mangroves_to_croplands
337,scalar_conversion_emissions_forests_mangroves_to_grasslands
338,scalar_conversion_emissions_forests_mangroves_to_other
339,scalar_conversion_emissions_forests_mangroves_to_settlements
340,scalar_conversion_emissions_forests_mangroves_to_wetlands
341,scalar_conversion_emissions_forests_primary_to_croplands
345,scalar_conversion_emissions_forests_primary_to_grasslands
346,scalar_conversion_emissions_forests_primary_to_other
347,scalar_conversion_emissions_forests_primary_to_settlements
348,scalar_conversion_emissions_forests_primary_to_wetlands
349,scalar_conversion_emissions_forests_secondary_to_croplands
353,scalar_conversion_emissions_forests_secondary_to_grasslands
354,scalar_conversion_emissions_forests_secondary_to_other
355,scalar_conversion_emissions_forests_secondary_to_settlements
356,scalar_conversion_emissions_forests_secondary_to_wetlands
357,scalar_conversion_emissions_grasslands_to_croplands
362,scalar_conversion_emissions_grasslands_to_other
363,scalar_conversion_emissions_grasslands_to_settlements
364,scalar_conversion_emissions_grasslands_to_wetlands
365,scalar_conversion_emissions_other_to_croplands
371,scalar_conversion_emissions_other_to_settlements
372,scalar_conversion_emissions_other_to_wetlands
